target,n_samples,n_features,best_model,train_R2,test_R2,gap_pp,train_MAE,test_MAE,finetuned
V_OC,2296,180,ElasticNet,49.187861144953885,45.76406683012536,3.423794314828521,0.0601151696966639,0.0658443849570403,True
J_SC,2296,180,ElasticNet,63.815441487240456,69.48336210233964,0.0,2.8407899413615767,2.735503115725409,True
PCE,2296,180,Ridge,60.608315718350255,61.15887551844745,0.0,2.1604117201002446,2.14467327927437,True
HOMO_D,615,100,KNN,42.59304808577142,18.47489436365599,24.11815372211543,0.0981808943089431,0.1067923133776793,True
LUMO_D,615,100,ExtraTrees,68.04132389545506,39.10659017363325,28.93473372182181,0.1209026212941219,0.1454797765403898,True
Lambda+,261,52,ExtraTrees,77.0269240137359,43.01466600851036,34.012258005225526,0.0114034487874593,0.0225918286095637,True
HOMO_A,865,100,KNN,52.53125310936056,52.46510443934529,0.0661486700152647,0.0964106016815554,0.1041815554387808,True
LUMO_A,865,100,ElasticNet,43.8449166606257,30.777288241626145,13.067628418999554,0.101274751201372,0.1144307041015771,True
Lambda-,72,14,ExtraTrees,88.10374953795981,63.780141134047895,24.323608403911912,0.0079178828193868,0.0088831558294949,True
