DonorName,AcceptorName,DonorSMILES,AcceptorSMILES,V_OC,J_SC,PCE,FF_percent,HOMO_D,LUMO_D,HOMO_A,LUMO_A,Lambda+,Lambda-,PubYear,DOI,source,orbital_label_type,split
J52-FTh,ITIC,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3cc(F)cs3)c(F)c(F)c(-c3cc(F)c(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sccc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2n1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(C=C6C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(C=C4C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,0.92,21.29,13.32,68.0,-5.51,-3.68,-5.576,-3.916,,,2022.0,10.1016/j.orgel.2022.106611,opvdb_experimental,electrochemical,training
D18-Cl,Y5,CCCCCCC(CCCC)Cc1csc(-c2cc3c4nsnc4c4cc(-c5cc(CC(CCCC)CCCCCC)c(-c6cc7c(-c8cc(Cl)c(CC(CC)CCCC)s8)c8sccc8c(-c8cc(Cl)c(CC(CC)CCCC)s8)c7s6)s5)sc4c3s2)c1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8ccccc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,0.875,23.59,13.25,64.2,-5.51,-2.77,-5.55,-3.87,,,2022.0,10.1002/solr.202200495,opvdb_experimental,electrochemical,training
PBDB-T,PY3Se-1V,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2c(sc3c(CCCCCCCCCCC)c(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)[se]c32)c2c3nsnc3c3c4sc5c(CCCCCCCCCCC)c(/C=C/C=C6\C(=O)c7cc(-c8ccc[se]8)ccc7C6=C(C#N)C#N)[se]c5c4n(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3c21,0.81,24.7,13.2,65.9,-5.33,-3.48,-5.51,-3.9,,,2022.0,10.1021/acsami.2c02485,opvdb_experimental,electrochemical,training
PBDB-T,PZT-C12,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2c3sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)c(CCCCCCCCCCC)c3sc2c2c3nn(CC(CCCC)CCCCCC)nc3c3c4sc5c(CCCCCCCCCCC)c(/C=C6\C(=O)c7cc(-c8cccs8)ccc7C6=C(C#N)C#N)sc5c4n(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3c21,0.928,22.2,13.1,63.7,-5.33,-3.48,-5.53,-3.57,,,2022.0,10.1002/marc.202200062,opvdb_experimental,electrochemical,training
PM6,PYTH-B,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3ccsc23)cc1F,CCCCCCCCCCCc1c(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7/C(=O)c8cc(-c9ccc(-c%10ccc(CCCCCCc%11ccc(-c%12cccs%12)s%11)s%10)s9)ccc8C7=C(C#N)C#N)sc6c5n(CC(CCCCCCCC)CCCCCCCCCC)c4c3n(CC(CCCCCCCC)CCCCCCCCCC)c21,0.937,20.35,13.12,68.78,-5.56,-3.65,-5.7,-3.86,,,2022.0,10.1002/adma.202208008,opvdb_experimental,electrochemical,training
PBCl-Qx4Cl,Y6,CCCCC(CC)Cc1sc(-c2nc3c(-c4ccc(-c5cc6c(-c7cc(Cl)c(CC(CC)CCCC)s7)c7sccc7c(-c7cc(Cl)c(CC(CC)CCCC)s7)c6s5)s4)cc(Cl)c(-c4cccs4)c3nc2-c2cc(Cl)c(CC(CC)CCCC)s2)cc1Cl,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,0.82,24.9,12.95,63.6,-5.58,-3.27,-5.65,-4.1,,,2022.0,10.1021/acsami.2c00764,opvdb_experimental,electrochemical,training
PBDB-T,DICTF,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2ccc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21,0.93,10.3,5.93,59.0,-5.33,-3.48,-5.67,-3.79,,,2022.0,10.1002/chem.202203356,opvdb_experimental,electrochemical,training
PffBT4T-2DT,IDTBR,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1csc(-c2c(F)c(F)c(-c3cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c4ccc(-c5cccs5)s4)s3)c3nsnc23)c1,CCN1C(=O)/C(=C/c2ccc(-c3cc4c(s3)-c3cc5c(cc3C4(CC)CC)-c3sc(-c4ccc(/C=C6\SC(=S)N(CC)C6=O)c6nsnc46)cc3C5(CC)CC)c3nsnc23)SC1=S,1.07,15.0,9.95,62.0,-5.29,-3.65,-5.63,-3.8,,,2022.0,10.1002/chem.202203356,opvdb_experimental,electrochemical,training
PBDB-T,PYT8T,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(-c9ccc(CCCCCCCCc%10cccs%10)s9)ccc8C7=C(C#N)C#N)sc6c5n(CC(CCCCCCCC)CCCCCCCCCC)c4c3n(CC(CCCCCCCC)CCCCCCCCCC)c21,0.95,17.01,9.97,62.0,-5.33,-3.48,-5.64,-4.07,,,2022.0,10.1039/d2ee02523j,opvdb_experimental,electrochemical,training
PDCBT-Cl,Y6,CCCCCCCCC(CCCCCC)CCOC(=O)c1csc(-c2cc(C(=O)OCCC(CCCCCC)CCCCCCCC)c(-c3ccc(-c4sccc4Cl)s3)s2)c1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,0.87,22.29,9.84,51.2,-5.34,-3.01,-5.65,-4.09,,,2022.0,10.1016/j.dyepig.2022.110269,opvdb_experimental,electrochemical,training
PBDB-T,PY5-TTz-CT,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(-c9cc(CC(CC)CCCC)c(-c%10nc%11sc(-c%12sccc%12CC(CC)CCCC)nc%11s%10)s9)ccc8C7=C(C#N)C#N)sc6c5n(CC(CCCCCCCC)CCCCCCCCCC)c4c3n(CC(CCCCCCCC)CCCCCCCCCC)c21,0.929,20.44,9.84,51.8,-5.38,-3.5,-5.68,-3.71,,,2022.0,10.1021/acs.macromol.2c00515,opvdb_experimental,electrochemical,training
PTB7-Th,BAF-4CN,CCCCC(CC)COC(=O)c1sc2csc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2c1F,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(-c3ccc(/C=c4/sc(=C(C#N)C#N)n(CCCCCC)c4=O)c4nsnc34)ccc2-c2ccc(-c3ccc(/C=c4/sc(=C(C#N)C#N)n(CCCCCC)c4=O)c4nsnc34)cc21,0.89,15.8,9.7,68.1,-5.21,-3.6,-5.7,-3.6,,,2022.0,10.1016/j.synthmet.2022.117189,opvdb_experimental,electrochemical,training
PPDT2FBT,PC71BM,CCCCCCCCC(CCCCCC)COc1ccc(OCC(CCCCCC)CCCCCCCC)c(-c2ccc(-c3c(F)c(F)c(-c4cccs4)c4nsnc34)s2)c1,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,0.79,15.94,9.65,76.63,-5.43,-3.67,-5.9,-3.9,,,2022.0,10.1002/adma.202208305,opvdb_experimental,electrochemical,training
PCE10,PC71BM,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)scc2c1F,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,0.804,17.72,9.62,67.5,-5.21,-3.6,-5.9,-3.9,,,2022.0,10.1002/anie.202207397,opvdb_experimental,electrochemical,training
PBDTTPD-HT,IDIC,CCCCCCCCN1C(=O)c2c(-c3cc(CCCCCC)cs3)sc(-c3cc(CCCCCC)c(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sccc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2C1=O,CCCCCCC1(CCCCCC)c2cc3c(cc2-c2sc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)cc21)C(CCCCCC)(CCCCCC)c1cc(/C=C2\C(=O)c4ccccc4C2=C(C#N)C#N)sc1-3,0.86,16.2,9.59,68.8,-5.33,-3.545,-5.69,-3.91,,,2022.0,10.1002/admi.202201274,opvdb_experimental,electrochemical,training
PM6,ITOR-IC,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3ccsc23)cc1F,CCCCCCCCOc1ccc(C2(c3ccc(OCCCCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(OCCCCCCCC)cc2)(c2ccc(OCCCCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,0.991,15.41,9.51,62.28,-5.56,-3.65,-5.53,-3.95,,,2022.0,10.1016/j.solener.2022.02.049,opvdb_experimental,electrochemical,training
PBDT,PYF-T-o,CCCCCCC(CCCC)Cc1csc(-c2c(F)c(F)c(-c3cc(CC(CCCC)CCCCCC)c(-c4cc5c(OCC(CC)CCCC)c6sccc6c(OCC(CC)CCCC)c5s4)s3)c3nsnc23)c1,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2c3sc(/C=C4\C(=O)c5c(F)cccc5C4=C(C#N)C#N)c(CCCCCCCCCCC)c3sc2c2c3nsnc3c3c4sc5c(CCCCCCCCCCC)c(/C=C6\C(=O)c7c(ccc(-c8cccs8)c7F)C6=C(C#N)C#N)sc5c4n(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3c21,0.93,18.92,9.55,54.43,-5.47,-3.525,-5.715,-3.805,,,2022.0,10.1016/j.cclet.2022.108019,opvdb_experimental,electrochemical,training
PTB7-Th,FRd2,CCCCC(CC)COC(=O)c1sc2csc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2c1F,CCN1C(=O)/C(=C\c2ccc(-c3ccc(-c4ccc5c(c4)C(CC)(CC)c4cc(-c6ccc(-c7ccc(/C=C8/SC(=S)N(CC)C8=O)o7)c7nsnc67)ccc4-5)c4nsnc34)o2)SC1=S,0.83,15.7,9.4,72.3,-5.21,-3.6,-5.67,-3.58,,,2022.0,10.1016/j.synthmet.2022.117189,opvdb_experimental,electrochemical,training
PBDTTTC-T,P1TP,CCCCC(CC)CC(=O)c1cc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)scc2s1,CCCCC(CC)CN1C(=O)c2ccc3c4ccc5c6c(cc(-c7ccc(-c8cc9c%10c(ccc%11c%12ccc%13c%14c(ccc(c8c%10%11)c%14%12)C(=O)N(CC(CC)CCCC)C%13=O)C(=O)N(CC(CC)CCCC)C9=O)s7)c(c7ccc(c2c37)C1=O)c64)C(=O)N(CC(CC)CCCC)C5=O,0.89,7.78,3.61,52.1,-5.13,-3.27,-5.66,-3.72,,,2022.0,10.1002/cjoc.202200027,opvdb_experimental,electrochemical,training
J71,PG1,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3cccs3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sccc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c2n1,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3cccs3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sccc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c2n1,0.99,7.0,3.5,51.1,-5.4,-3.24,-5.66,-3.81,,,2022.0,10.1002/marc.202200411,opvdb_experimental,electrochemical,training
PBDB-T,IDTT-BOACl,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C(\C#N)c6nc7cc(Cl)ccc7o6)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C(\C#N)c4nc5cc(Cl)ccc5o4)sc23)cc1,1.16,8.07,3.45,36.9,-5.33,-3.48,-5.44,-3.62,,,2022.0,10.1016/j.orgel.2022.106446,opvdb_experimental,electrochemical,training
PTB7-Th,SSBRC,CCCCC(CC)COC(=O)c1sc2csc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2c1F,CCCCC(CC)CC1(CC(CC)CCCC)c2cc(-c3ccc(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nsnc34)sc2-c2sc(-c3ccc(/C=c4\sc(=C(C#N)C#N)n(CC)c4=O)c4nsnc34)cc21,0.77,7.75,3.35,56.33,-5.21,-3.6,-5.47,-3.84,,,2022.0,10.1016/j.synthmet.2022.117189,opvdb_experimental,electrochemical,training
PBDB-T,PYT-EH20,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(-c4ccc(-c5ccc6c(c5)C(=O)/C(=C/c5sc7c(sc8c9c%10nsnc%10c%10c%11sc%12c(CCCCCCCCCCC)c(/C=C%13\C(=O)c%14ccccc%14C%13=C(C#N)C#N)sc%12c%11n(CC(CCCCCCCC)CCCCCCCCCC)c%10c9n(CC(CCCCCCCC)CCCCCCCCCC)c78)c5CCCCCCCCCCC)C6=C(C#N)C#N)s4)ccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7/C(=O)c8cc(-c9cccs9)ccc8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,0.92,21.4,14.8,70.9,-5.33,-3.48,-5.65,-3.77,,,2022.0,10.1002/marc.202200753,opvdb_experimental,electrochemical,training
PM6,4TC-4F-C8C8,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3ccsc23)cc1F,CCCCCCCCC(CCCCCCCC)Cn1c2cc3c(cc2c2cc4c(cc21)-c1sc2cc(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)sc2c1C4(Cc1ccc(CCCCCC)cc1)Cc1ccc(CCCCCC)cc1)C(Cc1ccc(CCCCCC)cc1)(Cc1ccc(CCCCCC)cc1)c1c-3sc2cc(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc12,0.93,21.01,14.85,76.0,-5.56,-3.65,-5.6,-3.96,,,2022.0,10.1002/smll.202201769,opvdb_experimental,electrochemical,training
PBDB-T,BTTPC,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCc1c(/C=C2\C(=O)c3cc4ccsc4cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc9ccsc9cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21,0.89,22.25,14.51,73.0,-5.33,-3.48,-5.47,-3.78,,,2022.0,10.1021/acsami.2c10059,opvdb_experimental,electrochemical,training
J52,BN-2F,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3cccs3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sccc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c2n1,CCCCC(CC)COc1cc(-c2cc3c(s2)-c2sc(/C=C4\C(=O)c5cc6ccc(F)cc6cc5C4=C(C#N)C#N)cc2C3(CC(CC)CCCC)CC(CC)CCCC)c(OCC(CC)CCCC)cc1-c1cc2c(s1)-c1sc(/C=C3\C(=O)c4cc5cc(F)ccc5cc4C3=C(C#N)C#N)cc1C2(CC(CC)CCCC)CC(CC)CCCC,0.81,25.25,14.53,70.78,-5.2,-3.05,-5.39,-3.99,,,2022.0,10.1002/chem.202201675,opvdb_experimental,electrochemical,training
J52ClF,IT-4F,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3cc(F)cs3)c(F)c(F)c(-c3cc(F)c(-c4cc5c(-c6cc(Cl)c(CC(CC)CCCC)s6)c6sccc6c(-c6cc(Cl)c(CC(CC)CCCC)s6)c5s4)s3)c2n1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,0.93,22.67,14.59,69.22,-5.54,-3.72,-5.66,-4.14,,,2022.0,10.1021/acsaem.2c02791,opvdb_experimental,electrochemical,training
PM6,PBTIC-γ-2F2T,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3ccsc23)cc1F,CCCCCCCCCCCc1c(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(-c9cc(F)c(-c%10sccc%10F)s9)ccc8C7=C(C#N)C#N)sc6c5n(CC(CCCCCCCC)CCCCCCCCCC)c4c3n(CC(CCCCCCCC)CCCCCCCCCC)c21,0.95,22.56,14.34,66.9,-5.56,-3.65,-5.56,-3.8,,,2022.0,10.1016/j.enrev.2022.100008,opvdb_experimental,electrochemical,training
PM6,F-2Cl,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3ccsc23)cc1F,CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2cc4c(cc21)-c1sc(/C=C2\C(=O)c5cc(Cl)c(Cl)cc5C2=C(C#N)C#N)cc1C4(CCCCCCCC)CCCCCCCC)C(CCCCCCCC)(CCCCCCCC)c1cc(/C=C2\C(=O)c4cc(Cl)c(Cl)cc4C2=C(C#N)C#N)sc1-3,0.901,20.14,14.07,77.54,-5.56,-3.65,-5.63,-3.89,,,2022.0,10.1039/d2ta08301a,opvdb_experimental,electrochemical,training
PM6,PYFCl-T,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3ccsc23)cc1F,CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2c3sc(/C=C4\C(=O)c5ccc(F)cc5C4=C(C#N)C#N)c(CCCCCCCCCCC)c3sc2c2c3nsnc3c3c4sc5c(CCCCCCCCCCC)c(C/C=C6/C(=O)c7cc(-c8cccs8)c(F)cc7C6=C(C#N)C#N)sc5c4n(CC(CCCCCCCCCC)CCCCCCCCCCCC)c3c21,0.928,23.32,14.03,64.83,-5.56,-3.65,-5.66,-3.73,,,2022.0,10.1002/adma.202211296,opvdb_experimental,electrochemical,training
PM6,A2,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3ccsc23)cc1F,CCCCCC(CCCCC)N1C(=O)c2ccc3c4c2c(cc2c4c4c(c5ccc6c7cc8c(=O)n(C(CCCCC)CCCCC)c(=O)c9ccc%10c%11ccc%12c(=O)n(C(CCCCC)CCCCC)c(=O)c%13cc(c6c52)c(c%11c%12%13)c7c%10c98)=CC2C(=O)N(C(CCCCC)CCCCC)C(=O)C5=C2C=4C3C=C5)C1=O,0.8,21.5,13.9,73.5,-5.56,-3.65,-5.7,-3.78,,,2022.0,10.1002/aesr.202200070,opvdb_experimental,electrochemical,training
PCPDTBT,B1,CCCCC(CC)CC1(CC(CC)CCCC)c2ccsc2-c2sc(-c3cccc4nsnc34)cc21,CCCCCCc1cc(-c2cc3c(-c4ccc(SCC(CC)CCCC)cc4)c4sc(-c5cc(CCCCCC)c(-c6cc(CCCCCC)c(-c7ccc(/C=C8/SC(=S)N(CCCC)C8=O)s7)s6)s5)cc4c(-c4ccc(SCC(CC)CCCC)cc4)c3s2)sc1-c1cc(CCCCCC)c(-c2ccc(/C=C3/SC(=S)N(CCCC)C3=O)s2)s1,1.15,11.7,3.8,28.0,-5.3,-3.6,-5.37,-3.51,,,2022.0,10.1016/j.optmat.2022.112852,opvdb_experimental,electrochemical,training
PBDB-T-2Cl,PC61BM,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(Cl)c(CC(CC)CCCC)s3)c3ccsc23)cc1Cl,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,0.96,13.95,6.13,46.0,-5.52,-3.6,-6.1,-3.7,,,2022.0,10.1016/j.orgel.2022.106728,opvdb_experimental,electrochemical,training
PCE10,PC61BM,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)scc2c1F,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,0.79,10.4,6.1,71.4,-5.21,-3.6,-6.1,-3.7,,,2022.0,10.1016/j.orgel.2022.106633,opvdb_experimental,electrochemical,training
PBDB-T-SF,ITIC-4F,CCCCC(CC)CSc1sc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(SCC(CC)CCCC)s3)c3ccsc23)cc1F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6/C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4/C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,0.86,16.7,6.1,43.0,-5.41,-3.62,-5.82,-4.24,,,2022.0,10.1002/adma.202202575,opvdb_experimental,electrochemical,training
