DonorName,AcceptorName,DonorSMILES,AcceptorSMILES,V_OC,J_SC,PCE,FF_percent,HOMO_D,LUMO_D,HOMO_A,LUMO_A,Lambda+,Lambda-,PubYear,DOI,source,orbital_label_type,split
PB-BTCN,Y6,CCCCCCCCCCC(CCCCCCCC)Cc1csc(-c2cc(C#N)c(-c3cc(CC(CCCCCCCC)CCCCCCCCCC)c(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sccc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c3nsnc23)c1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,0.79,12.14,5.07,53.0,-5.37,-3.57,-5.65,-4.09,,,2024.0,10.1016/j.optmat.2024.115778,opvdb_experimental,electrochemical,training
PM6,BTP-FTh,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3ccsc23)cc1F,CCCCCCc1sc(-c2c(/C=C3\C(=O)c4cc(F)c(F)cc4C3=C(C#N)C#N)sc3c2sc2c4c5nsnc5c5c6sc7c(-c8cc(F)c(CCCCCC)s8)c(/C=C8\C(=O)c9cc(F)c(F)cc9C8=C(C#N)C#N)sc7c6n(CC(CCCC)CCCCCC)c5c4n(CC(CCCC)CCCCCC)c32)cc1F,0.974,19.96,10.37,53.34,-5.56,-3.65,-5.8,-4.04,,,2024.0,10.1002/cssc.202400601,opvdb_experimental,electrochemical,training
J61,ITIC,CCCCCCCCCCCCSc1ccc(-c2c3cc(-c4ccc(-c5c(F)c(F)c(-c6cccs6)c6nn(CC(CCCCCC)CCCCCCCC)nc56)s4)sc3c(-c3ccc(SCCCCCCCCCCCC)s3)c3ccsc23)s1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cc1,0.9,17.97,10.6,65.0,-5.3,-3.15,-5.576,-3.916,,,2024.0,10.1039/d4cc06017b,opvdb_experimental,electrochemical,training
PBTz-Cl,L8-BO,CCCCCCCCC(CCCCCC)Cc1nc2c(-c3ccc(-c4cc5c(-c6cc(Cl)c(CC(CC)CCCC)s6)c6sccc6c(-c6cc(Cl)c(CC(CC)CCCC)s6)c5s4)s3)c(F)c(F)c(-c3cccs3)c2s1,CCCCCCC(CCCC)Cc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC(CCCC)CCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,0.904,19.39,10.19,58.17,-5.47,-3.39,-5.68,-3.9,,,2024.0,10.1039/d4tc03741c,opvdb_experimental,electrochemical,training
PTB7-Th,DICTF,CCCCC(CC)COC(=O)c1sc2csc(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sccc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)c2c1F,CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)ccc2-c2ccc(-c3ccc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)s3)cc21,0.96,16.38,10.38,66.0,-5.21,-3.6,-5.67,-3.79,,,2024.0,10.1002/anie.202406272,opvdb_experimental,electrochemical,training
D18,Py1,CCCCCCC(CCCC)CC1=CSC(C2=CC3=C(S2)C2=C(C=C(C4=CC(CC(CCCC)CCCCCC)=C(C5=CC6=C(C7=CC(F)=C(CC(CC)CCCC)S7)C7=C(C=CS7)C(C7=CC(F)=C(CC(CC)CCCC)S7)=C6S5)S4)S2)C2=NSN=C32)=C1,CCCCCCCCC(CCCCCCCC)n1c2cc(-c3sc(-c4sc(/C=C5\C(=O)N(CCCC)C(=O)C(C#N)=C5C)cc4CCCCCC)cc3CCCCCC)sc2c2sc(-c3sc(-c4sc(/C=C5\C(=O)N(CCCC)C(=O)C(C#N)=C5C)cc4CCCCCC)cc3CCCCCC)cc21,0.764,22.46,10.71,62.4,-5.51,-2.77,-5.27,-4.0,,,2024.0,10.1002/aenm.202404537,opvdb_experimental,electrochemical,training
PBDB-T,IT-4Cl,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(Cl)c(Cl)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)sc23)cc1,0.693,20.12,10.1,72.3,-5.33,-3.48,-5.75,-4.09,,,2024.0,10.1002/anie.202400565,opvdb_experimental,electrochemical,training
PTzBi,N2200,CCCCCCCCN1C(=O)c2c(c(-c3ccc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sccc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)s3)c3nn(CCCCCCCC)nc3c2-c2cccs2)C1=O,CCCCCCCCCCC(CCCCCCCC)CN1C(=O)C2=C3C(=CC(C4=CC=C(C5=CC=CS5)S4)=C4C(=O)N(CC(CCCCCCCC)CCCCCCCCCC)C(=O)C(=C43)C=C2)C1=O,0.9,5.36,2.8,58.0,-5.34,-3.46,-5.71,-4.02,,,2024.0,10.1039/d4tc04387a,opvdb_experimental,electrochemical,training
P1,PC71BM,CCCCCCCCc1cc(-c2c(-c3cccs3)sc3c(-c4cc(CCCCCCCC)c(CCCCCCCC)s4)c(-c4ccc(-c5cccc6nsnc56)s4)sc23)sc1CCCCCCCC,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,0.908,14.8,8.61,64.1,-5.34,-3.53,-5.9,-3.9,,,2024.0,10.1021/acsami.4c00167,opvdb_experimental,electrochemical,training
PTzBI-dF,PY-IT,CCCCCCCCN1C(=O)c2c(c(-c3cc(F)c(-c4cc5c(-c6cc(F)c(CC(CC)CCCC)s6)c6sccc6c(-c6cc(F)c(CC(CC)CCCC)s6)c5s4)s3)c3nn(CCC(CC)CCCC)nc3c2-c2cc(F)cs2)C1=O,CCCCCCCCCCCc1c(/C=C2\C(=O)c3ccccc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(-c9cccs9)ccc8C7=C(C#N)C#N)sc6c5n(CC(CCCCCCCC)CCCCCCCCCC)c4c3n(CC(CCCCCCCC)CCCCCCCCCC)c21,0.951,21.86,13.78,66.31,-5.55,-3.83,-5.68,-3.94,,,2024.0,10.1002/aenm.202402268,opvdb_experimental,electrochemical,training
