PaperLabel,DOI,V_OC,J_SC,PCE,DonorNo,DonorName,DonorSMILES,HOMO_D,LUMO_D,Lambda+,AcceptorNo,AcceptorName,AcceptorSMILES,HOMO_A,LUMO_A,LUMO+1_A,Lambda-,Model1_PCE,Model2_PCE,Model3_PCE
22.0,10.1039/c0cc05448h,0.776,5.94,1.42,125,FPTPA,O=c1[nH]c(=O)c2cc3c4sc(-c5ccc(-c6ccc(-c7ccc(N(c8ccccc8)c8ccccc8)cc7)s6)s5)cc4c4cc5c(=O)[nH]c(=O)c6cc7c8sc(-c9ccc(-c%10ccc(-c%11ccc(N(c%12ccccc%12)c%12ccccc%12)cc%11)s%10)s9)cc8c8cc1c2c1c8c7c(c56)c4c31,-4.90675695,-3.07434228,0.068667,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,2.530012,2.40761,2.733992
21.0,10.1039/c0cc01229g,0.98,3.41,1.0,126,3,C[Si](C)(C)c1ccc(-c2ccc(C#Cc3c4ccccc4c(C#Cc4ccc(-c5ccc([Si](C)(C)C)s5)s4)c4ccccc34)s2)s1,-4.7151888,-2.45120157,0.123338,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,1.16925,1.106485,1.292679
21.0,10.1039/c0cc01229g,0.78,0.26,0.05,127,2,C[Si](C)(C)c1ccc(-c2ccc(C#Cc3ccc(C#Cc4ccc(-c5ccc([Si](C)(C)C)s5)s4)c4nsnc34)s2)s1,-5.00771119,-2.70018574,0.147735,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,0.404038,0.426489,0.276165
21.0,10.1039/c0cc01229g,0.64,1.0,0.2,128,1,C[Si](C)(C)c1ccc(-c2ccc(C#Cc3ccc(-c4ccc(C#Cc5ccc(-c6ccc([Si](C)(C)C)s6)s5)s4)s3)s2)s1,-4.85478321,-2.27133431,0.144307,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,0.533364,0.589105,0.420447
20.0,10.1021/acs.chemmater.5b02616,0.85,2.74,0.71,129,DR3TDTC,CCc1cc(C=C2SCN(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(s3)-c3sc(-c5cc(CC)c(-c6ccc(-c7sc(C=C8SC(=S)N(CC)C8=O)cc7CC)s6)s5)cc3C4(CC)CC)cc2CC)s1,-4.64090172,-2.74127493,0.139894,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,6.109695,6.072729,6.504187
20.0,10.1021/acs.chemmater.5b02616,0.82,13.67,7.8,130,DR3TDTS,CCc1cc(C=C2SC(=S)N(CC)C2=O)sc1-c1ccc(-c2sc(-c3cc4c(s3)-c3sc(-c5cc(CC)c(-c6ccc(-c7sc(C=C8SC(=S)N(CC)C8=O)cc7CC)s6)s5)cc3[Si]4(CC)CC)cc2CC)s1,-4.83410255,-2.77637762,0.12938,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,5.893281,5.879607,5.867317
55.0,10.1021/am100920s,0.696,3.4,0.84,131,DPPDS,CCc1ccc(-c2ccc(-c3ccc(C4=C5C(=O)N(CC)C(c6ccc(-c7ccc(-c8ccc(CC)[se]8)[se]7)s6)=C5C(=O)N4CC)s3)[se]2)[se]1,-4.62729603,-2.62644289,0.137513,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,2.401804,2.362718,2.539581
57.0,10.1021/acsami.5b03488,0.69,11.17,4.32,132,FDPP,CCN1C(=O)C2=C(c3ccc(-c4ccc(-c5ccc(F)s5)s4)s3)N(CC)C(=O)C2=C1c1ccc(-c2ccc(-c3ccc(F)s3)s2)s1,-4.76988369,-2.72195485,0.14656,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,1.95263,2.233513,2.805536
57.0,10.1021/acsami.5b03488,0.67,5.29,1.0,133,CDPP,CCN1C(=O)C2=C(c3ccc(-c4ccc(-c5ccc(Cl)s5)s4)s3)N(CC)C(=O)C2=C1c1ccc(-c2ccc(-c3ccc(Cl)s3)s2)s1,-4.83056507,-2.78508526,0.14076,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,1.371775,0.710407,2.004
111.0,10.1002/aenm.201400879,0.89,8.08,3.26,134,IDT-DPP,CCN1C(=O)C2=C(c3ccc(-c4ccc5c(c4)C(CC)(CC)c4cc(-c6ccc(C7=C8C(=O)N(CC)C(c9ccc(-c%10ccccc%10)s9)=C8C(=O)N7CC)s6)ccc4-5)s3)N(CC)C(=O)C2=C1c1ccc(-c2ccccc2)s1,-4.73342043,-2.6914781,0.082725,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,3.02143,2.747128,3.239969
109.0,10.1039/C6RA01103A,0.65,6.08,2.12,135,BDT(DPP-TT)2,CCc1ccc(-c2c3cc(-c4ccc(C5=C6C(=O)N(CC)C(c7ccc(-c8ccc(-c9cccs9)s8)s7)=C6C(=O)N5CC)s4)sc3c(-c3ccc(CC)s3)c3cc(-c4ccc(C5=C6C(=O)N(CC)C(c7ccc(-c8ccc(-c9cccs9)s8)s7)=C6C(=O)N5CC)s4)sc23)s1,-4.64824879,-2.86236559,0.082737,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,3.662611,3.082338,3.95744
109.0,10.1039/C6RA01103A,0.57,7.67,2.19,136,BDT(DPP-TTHEX)2,CCc1ccc(-c2ccc(C3=C4C(=O)N(CC)C(c5ccc(-c6cc7sc8cc(-c9ccc(C%10=C%11C(=O)N(CC)C(c%12ccc(-c%13ccc(CC)s%13)s%12)=C%11C(=O)N%10CC)s9)sc8c7s6)s5)=C4C(=O)N3CC)s2)s1,-4.63246619,-2.85229738,0.097348,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,3.532742,3.738834,3.602502
108.0,10.1039/c2ra01182d,0.86,9.77,4.15,137,DTTDPP,CCc1cc(CC)cc(C2=c3ccc4n3[Zn]35n6c(ccc6C(c6cc(CC)cc(CC)c6)=c6ccc(n63)=C(C#Cc3ccc(C6=C7C(=O)N(CC)C(c8cccs8)=C7C(=O)N6CC)s3)c3ccc2n35)C=4C#Cc2ccc(C3=C4C(=O)N(CC)C(c5cccs5)=C4C(=O)N3CC)s2)c1,-4.69396392,-2.89665194,0.060078,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,3.73997,3.575232,4.029308
104.0,10.1039/C5CP05474E,0.84,9.0,3.97,138,BDPT-2DPP,CCN1C(=O)C2=C(c3ccc(-c4cc5c(C(C)C)nc6cc7c(cc6c5s4)nc(C(C)C)c4cc(-c5ccc(C6=C8C(=O)N(CC)C(c9cccs9)=C8C(=O)N6CC)s5)sc47)s3)N(CC)C(=O)C2=C1c1cccs1,-4.90430793,-2.6974646,0.08984,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,2.411986,2.341722,2.582216
104.0,10.1039/C5CP05474E,0.8,6.83,2.63,139,BDPT-2FBT,CCc1csc(-c2c(F)c(F)c(-c3cc(CC)c(-c4cc5c(C(C)C)nc6cc7c(cc6c5s4)nc(C(C)C)c4cc(-c5sc(-c6c(F)c(F)c(-c8cc(CC)cs8)c8nsnc68)cc5CC)sc47)s3)c3nsnc23)c1,-5.16172763,-2.81011973,0.113008,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,3.972068,3.943948,4.198699
104.0,10.1039/C5CP05474E,0.84,5.08,2.18,140,BDPT-2BT,CCc1csc(-c2ccc(-c3cc(CC)c(-c4cc5c(C(C)C)nc6cc7c(cc6c5s4)nc(C(C)C)c4cc(-c5sc(-c6ccc(-c8cc(CC)cs8)c8nsnc68)cc5CC)sc47)s3)c3nsnc23)c1,-5.0648551,-2.70072997,0.119108,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,1.959243,2.031758,1.835354
103.0,10.1039/C5TA10430K,0.89,9.7,4.8,141,PCLDPP,CCN1C(=O)C2=C(c3ccc(-c4cc5c(s4)c4cc6c(=O)n(CC)c7cc(-c8ccc(C9=C%10C(=O)N(CC)C(c%11cccs%11)=C%10C(=O)N9CC)s8)sc7c6cc4c(=O)n5CC)s3)N(CC)C(=O)C2=C1c1cccs1,-4.8289324,-2.88876064,0.075556,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,2.687364,2.628736,3.167821
102.0,10.1021/am5006223,0.71,10.69,3.69,142,DPP2(NPTA),CCC1=C2Sc3c(n(CC)c4c3sc3c(CC)c(-c5ccc(C6=C7C(=O)N(CC)C(c8cccs8)=C7C(=O)N6CC)s5)sc34)C2[S]=C1c1ccc(C2=C3C(=O)N(CC)C(c4cccs4)=C3C(=O)N2CC)s1,-4.68498416,-2.58099987,0.097335,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,3.47807,3.747009,3.328403
102.0,10.1021/am5006223,0.77,6.82,2.39,143,DPP2(PTA),CCc1c(-c2ccc(C3=C4C(=O)N(CC)C(c5cccs5)=C4C(=O)N3CC)s2)sc2c1sc1c2sc2c3sc(-c4ccc(C5=C6C(=O)N(CC)C(c7cccs7)=C6C(=O)N5CC)s4)c(CC)c3sc21,-4.82349011,-2.63732744,0.100601,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,3.178661,2.677454,3.132337
101.0,10.1039/C5TC01348H,0.597,1.58,0.43,144,DDPP’-TTAR,CCOC1C2=C(c3ccc(-c4sc5c(sc6c7sc(-c8ccc(C9=C%10C(=C(c%11cccs%11)N(CC)C%10OCC)C(=O)N9CC)s8)c(CC)c7sc56)c4CC)s3)N(CC)C(=O)C2=C(c2cccs2)N1CC,-3.60387584,-2.65691964,0.11273,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,1.784037,2.611588,2.667926
101.0,10.1039/C5TC01348H,0.7222,10.4,3.98,145,DDPP-TTAR,CCc1c(-c2ccc(C3=C4C(=O)N(CC)C(c5cccs5)=C4C(=O)N3CC)s2)sc2c1sc1c3sc(-c4ccc(C5=C6C(=O)N(CC)C(c7cccs7)=C6C(=O)N5CC)s4)c(CC)c3sc21,-4.80471426,-2.67542338,0.10661,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,2.564332,2.251054,2.691614
100.0,10.1039/c3ta13816j,0.88,8.53,2.82,146,IDT-2DPP,CCc1ccc(C2(c3ccc(CC)cc3)c3cc4c(cc3-c3sc(-c5ccc(C6=C7C(=O)N(CC)C(c8cccs8)=C7C(=O)N6CC)s5)cc32)C(c2ccc(CC)cc2)(c2ccc(CC)cc2)c2cc(-c3ccc(C5=C6C(=O)N(CC)C(c7cccs7)=C6C(=O)N5CC)s3)sc2-4)cc1,-4.65151416,-2.64576297,0.087079,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,3.43082,2.926273,3.853794
99.0,10.1039/C5TA06501A,0.8,11.4,5.5,147,m2,CCc1ccc(-c2c3cc(-c4ccc(C5=C6C(=O)N(CC)C(c7cccs7)=C6C(=O)N5CC)s4)oc3c(-c3ccc(CC)c(F)c3)c3cc(-c4ccc(C5=C6C(=O)N(CC)C(c7cccs7)=C6C(=O)N5CC)s4)oc23)cc1F,-4.78811531,-2.83352153,0.085235,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,2.483802,2.741165,2.491712
99.0,10.1039/C5TA06501A,0.88,5.5,3.1,148,m1,CCc1ccc(-c2c3cc(-c4ccc(C5=C6C(=O)N(CC)C(c7cccs7)=C6C(=O)N5CC)s4)sc3c(-c3ccc(CC)c(F)c3)c3cc(-c4ccc(C5=C6C(=O)N(CC)C(c7cccs7)=C6C(=O)N5CC)s4)sc23)cc1F,-4.79736718,-2.82644657,0.085839,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,4.471064,4.340495,4.523532
97.0,10.1021/am302896u,0.72,11.86,5.29,149,Bdt-dpp,CCc1ccc(-c2c3cc(-c4ccc(C5=C6C(=O)N(CC)C(c7cccs7)=C6C(=O)N5CC)s4)sc3c(-c3ccc(CC)s3)c3cc(-c4ccc(C5=C6C(=O)N(CC)C(c7cccs7)=C6C(=O)N5CC)s4)sc23)s1,-4.76525775,-2.80930339,0.084139,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,4.159199,4.038255,4.933177
96.0,10.1039/c3ee24351f,0.835,3.0,1.28,150,SOHDT(TDPPTBFU)2,CCN1C(=O)C2=C(c3ccc(-c4cc5ccccc5o4)s3)N(CC)C(=O)C2=C1c1ccc(-c2csc(-c3scc(-c4ccc(C5=C6C(=O)N(CC)C(c7ccc(-c8cc9ccccc9o8)s7)=C6C(=O)N5CC)s4)c3C[Si](O)(CC)CC)c2)s1,-4.77723076,-2.76712575,0.078371,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,2.08865,2.179908,1.903854
96.0,10.1039/c3ee24351f,0.67,2.88,0.74,151,SDT(TDPPTBFU)2,CCN1C(=O)C2=C(c3ccc(-c4csc5c4[Si](CC)(CC)c4c(-c6ccc(C7=C8C(=O)N(CC)C(c9ccc(-c%10cc%11ccccc%11o%10)s9)=C8C(=O)N7CC)s6)csc4-5)s3)N(CC)C(=O)C2=C1c1ccc(-c2cc3ccccc3o2)s1,-4.86920524,-2.70671647,0.07518,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,1.910131,1.980303,1.765609
96.0,10.1039/c3ee24351f,0.729,2.07,0.77,152,F(TDPPTBFU)2,CCN1C(=O)C2=C(c3ccc(-c4cc5ccccc5o4)s3)N(CC)C(=O)C2=C1c1ccc(-c2ccc3c(c2)C(CC)(CC)c2cc(-c4ccc(C5=C6C(=O)N(CC)C(c7ccc(-c8cc9ccccc9o8)s7)=C6C(=O)N5CC)s4)ccc2-3)s1,-4.7720606,-2.78073144,0.077727,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,1.689222,1.487824,1.772554
96.0,10.1039/c3ee24351f,0.78,6.2,2.51,153,F(TDPP(TTT)2,CCc1ccc(-c2ccc(-c3ccc(C4=C5C(=O)N(CC)C(c6ccc(-c7ccc8c(c7)C(CC)(CC)c7cc(-c9ccc(C%10=C%11C(=O)N(CC)C(c%12ccc(-c%13ccc(-c%14ccc(CC)s%14)s%13)s%12)=C%11C(=O)N%10CC)s9)ccc7-8)s6)=C5C(=O)N4CC)s3)s2)s1,-4.64933725,-2.71406354,0.080146,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,2.960399,3.143516,2.811228
96.0,10.1039/c3ee24351f,0.511,2.2,0.74,154,BT(TDPPTTT_2,CCc1ccc(-c2ccc(-c3ccc(C4=C5C(=O)N(CC)C(c6ccc(-c7ccc(-c8ccc(C9=C%10C(=O)N(CC)C(c%11ccc(-c%12ccc(-c%13ccc(CC)s%13)s%12)s%11)=C%10C(=O)N9CC)s8)c8nsnc78)s6)=C5C(=O)N4CC)s3)s2)s1,-4.60960863,-3.15570432,0.102321,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,1.5296,1.769422,1.774882
96.0,10.1039/c3ee24351f,0.67,4.12,1.62,155,BDT(TDPPTTT)2,CCc1ccc(-c2ccc(-c3ccc(C4=C5C(=O)N(CC)C(c6ccc(-c7cc8c(CC)c9sc(-c%10ccc(C%11=C%12C(=O)N(CC)C(c%13ccc(-c%14ccc(-c%15ccc(CC)s%15)s%14)s%13)=C%12C(=O)N%11CC)s%10)cc9c(CC)c8s7)s6)=C5C(=O)N4CC)s3)s2)s1,-4.64525554,-2.83950803,0.085694,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,3.66398,3.351088,3.684787
96.0,10.1039/c3ee24351f,0.8,3.49,1.46,156,BDT(TDPPTBFU)2,CCc1c2cc(-c3ccc(C4=C5C(=O)N(CC)C(c6ccc(-c7cc8ccccc8o7)s6)=C5C(=O)N4CC)s3)sc2c(CC)c2cc(-c3ccc(C4=C5C(=O)N(CC)C(c6ccc(-c7cc8ccccc8o7)s6)=C5C(=O)N4CC)s3)sc12,-4.73233197,-2.88032511,0.083251,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,1.301829,1.217893,1.326482
