PaperLabel,DOI,V_OC,J_SC,PCE,DonorNo,DonorName,DonorSMILES,HOMO_D,LUMO_D,Lambda+,AcceptorNo,AcceptorName,AcceptorSMILES,HOMO_A,LUMO_A,LUMO+1_A,Lambda-,Model1_PCE,Model2_PCE,Model3_PCE
19.0,10.1039/C5RA17660C,0.98,1.6,0.78,103,CA-4T-IID-4T-CA-b,CCOC(=O)C(C#N)=Cc1ccc(-c2cc(-c3sc(-c4ccc5c(c4)N(CC)C(=O)C5=C4C(=O)N(CC)c5cc(-c6cc(CC)c(-c7cc(-c8ccc(C=C(C#N)C(=O)OCC)s8)c(-c8ccc(C=C(C#N)C(=O)OCC)s8)s7)s6)ccc54)cc3CC)sc2-c2ccc(C=C(C#N)C(=O)OCC)s2)s1,-5.43329725,-3.14808514,0.133656,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,1.23961,1.521889,1.200568
23.0,10.1021/ja910420t,0.65,0.76,0.17,104,A-P6d,CCc1ccc(C=Cc2c3ccccc3c(C=Cc3ccc(CC)c(CC)c3)c3ccccc23)cc1CC,-4.86893313,-1.74969206,0.18711,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,0.545137,0.568069,0.428538
27.0,10.1016/j.orgel.2014.03.011,0.78,9.24,3.42,105,TPA(DPP–P)2,CCc1ccc(N(c2ccc(-c3ccc(C4=C5C(=O)N(CC)C(c6ccc(-c7ccc8c(ccc9ccccc98)c7)s6)=C5C(=O)N4CC)s3)cc2)c2ccc(-c3ccc(C4=C5C(=O)N(CC)C(c6ccc(-c7ccc8c(ccc9ccccc98)c7)s6)=C5C(=O)N4CC)s3)cc2)cc1,-4.63192196,-2.59270077,0.077245,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,2.896991,2.94115,2.607108
27.0,10.1016/j.orgel.2014.03.011,0.73,5.59,1.5,106,TPA–DPP–P,CCc1ccc(N(c2ccc(CC)cc2)c2ccc(-c3ccc(C4=C5C(=O)NC(c6ccc(-c7ccc8c(ccc9ccccc98)c7)s6)=C5C(=O)N4)s3)cc2)cc1,-4.68688896,-2.56004711,0.138665,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,2.522815,2.259766,2.900516
27.0,10.1016/j.orgel.2014.03.011,0.69,1.86,0.39,107,TPA–DPP,CCc1ccc(N(c2ccc(CC)cc2)c2ccc(-c3ccc(C4=C5C(=O)N(CC)C(c6cccs6)=C5C(=O)N4CC)s3)cc2)cc1,-4.64199018,-2.41419408,0.143277,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,2.509713,1.826703,2.800552
126.0,10.1016/j.dyepig.2016.04.002,0.57,1.61,0.43,108,TrI-DTDPP,CCN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(=O)N(CC)C(c7ccc(-c8ccc(C9=C%10C(=O)N(CC)C(c%11cccs%11)=C%10C(=O)N9CC)s8)s7)=C6C(=O)N5CC)s4)s3)N(CC)C(=O)C2=C1c1cccs1,-4.76498564,-2.96930634,0.094649,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,2.346981,1.089977,0.877927
26.0,10.1016/j.solmat.2013.03.020,0.89,10.8,4.04,109,DMM-TPA-Th2-MMN,CC1(C)c2cccc3c2N2c4c(cc(-c5ccc(-c6ccc(C=C(C#N)C#N)s6)s5)cc4C(C)(C)c4cccc1c42)C3,-5.05288209,-2.94481609,0.05197,1,PC70BM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c4c4c%12c5c5c6c6c8c8c%13c9c9c%10c%10c%11c%11c2c2c4c4c%14c%12c%12c5c5c6c8c6c8c%13c9c9c%10c%10c%11c%11c2c4c2c4c%14c%12c%12c5c6c5c6c8c9c8c%10c%11c2c(c86)c4c%125)C713,-5.597654,-3.06209716,-2.994613,0.094445,1.646049,1.448325,1.78803
25.0,10.1016/j.dyepig.2013.09.022,0.92,4.18,3.15,110,DPP(TFNa)2,CCN1C(=O)C2=C(c3ccc(-c4ccc5cc(F)ccc5c4)s3)N(CC)C(=O)C2=C1c1ccc(-c2ccc3cc(F)ccc3c2)s1,-4.83872849,-2.67596761,0.144119,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,4.572851,4.996462,4.696252
25.0,10.1016/j.dyepig.2013.09.022,0.84,4.06,2.61,111,DPP(TNa)2,CCN1C(=O)C2=C(c3ccc(-c4ccc5ccccc5c4)s3)N(CC)C(=O)C2=C1c1ccc(-c2ccc3ccccc3c2)s1,-4.77151637,-2.60576223,0.139267,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,3.3398,3.736087,3.451372
24.0,10.1016/j.orgel.2014.03.013,1.08,14.0,4.84,112,BDCTBT,CCc1c(CC)c(-c2ccc(-c3ccc(C(C#N)=Cc4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3)s2)c2nsnc2c1-c1ccc(-c2ccc(C=C(C#N)c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2)s1,-5.02512648,-2.39895571,0.057903,2,PCBM,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,-5.654798,-3.09012489,-3.030532,0.075499,3.05754,3.133825,3.180436
