DonorName,AcceptorName,DonorSMILES,AcceptorSMILES,V_OC,J_SC,FF_percent,PCE,HOMO_D,LUMO_D,HOMO_A,LUMO_A,Lambda+,Lambda-,PubYear,DOI,Source_Database
PDTBDT-BZ,BDTB-Na,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3cccs3)c(F)c(F)c(-c3ccc(-c4cc5sc6c(-c7ccc(SCC(CCCC)CCCCCC)s7)c7c(sc8ccsc87)c(-c7ccc(SCC(CCCC)CCCCCC)s7)c6c5s4)s3)c2n1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(/C=C4/C(=O)c5cc6ccccc6cc5C4=C(C#N)C#N)sc3-c3sc4c(-c5ccc(SCC(CC)CCCC)cc5)c5c6c(sc5c(-c5ccc(SCC(CC)CCCC)cc5)c4c32)-c2sc(/C=C3/C(=O)c4cc5ccccc5cc4C3=C(C#N)C#N)cc2C6(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)cc1,0.864,12.86,44.5,4.95,-5.32,-3.51,-5.5,-3.8,,,2019,10.1021/acsami.9b14981,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
P(F-Cl),IT-4F,CCCCC(CC)Cc1sc(-c2c3cc(-c4sc(C)c(C)c4Cl)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,0.879,20.3,66.0,11.8,-5.64,-3.66,-5.71,-4.15,,,2019,10.1002/smll.201902598,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
PNTz4T-1F,PC71BM,CCCCCCCCCCCCC(CCCCCCCCCC)Cc1csc(-c2cc3c(cc(-c4cc(CC(CCCCCCCCCC)CCCCCCCCCCCC)c(-c5ccc(-c6sccc6F)s5)s4)c4nsnc43)c3nsnc23)c1,COC(=O)CCCC1(c2ccccc2)C23c4c5ccc6c7cc8c9c%10c(cc%11cc%12c%13c%14c(cc%15c%16ccc-5c2c%16c2c5c%16c%17c(c(c46)c7c9c%17c4c%10c%11c%13c4c%16c%14c%152)C513)C%12)C8,0.78,20.37,73.0,11.77,-5.29,-3.7,-5.9,-3.9,,,2019,10.1039/c9ta08960h,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
J71,m-ITIC,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3cccs3)c(F)c(F)c(-c3ccc(-c4cc5c(-c6ccc([Si](CCC)(CCC)CCC)s6)c6sccc6c(-c6ccc([Si](CCC)(CCC)CCC)s6)c5s4)s3)c2n1,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)c1,0.94,17.53,71.2,11.73,-5.39,-3.24,-5.53,-3.95,,,2019,10.1021/acs.macromol.9b00484,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
PBDT-F-3T2C,IT-4F,CCCCCCCCCCOC(=O)c1ccsc1-c1ccc(-c2sc(-c3cc4c(-c5cc(F)c(CC(CC)CCCC)s5)c5sccc5c(-c5cc(F)c(CC(CC)CCCC)s5)c4s3)cc2C(=O)OCCCCCCCCCC)s1,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,0.852,20.12,68.09,11.67,-5.53,-3.56,-5.66,-4.14,,,2019,10.1016/j.orgel.2019.04.011,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
44TT,PCBM,CCCCN(CCCC)C(=O)c1ccsc1-c1cc(C(=O)N(CCCC)CCCC)c(-c2cc3sccc3s2)s1,COC(=O)CCCC1(c2ccccc2)C23c4c5c6c7c8c9c(c%10c%11c2c2c%12c4c4c%13c5c5c7c7c8c8c%14c9c%10c9c%10c%11c2c2c%11c%12c4c4c%12c%13c5c5c7c7c8c8c%14c9c9c%10c2c2c%11c4c4c%12c5c7c5c8c9c2c45)C613,0.82,4.8,41.0,1.59,-5.4,-3.35,-6.1,-3.7,,,2019,10.1039/c9ra06909g,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
P1,ITIC-Th,CCCCC(CC)Cc1ccc(-c2c3cc(-c4sc(C)c(C(=O)OC)c4F)sc3c(-c3ccc(CC(CC)CCCC)s3)c3cc(C)sc23)s1,CCCCCCc1cc(C2(c3ccc(CCCCCC)s3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7ccccc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)s2)(c2ccc(CCCCCC)s2)c2c-4sc3cc(/C=C4\C(=O)c5ccccc5C4=C(C#N)C#N)sc23)cs1,1.01,17.66,63.1,11.39,-5.6,-3.65,-5.66,-3.93,,,2019,10.1002/advs.201901773,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
PBDB-T,Ph-DTDPi-OT,CCCCC(CC)Cc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3ccc(CC(CC)CCCC)s3)c3ccsc23)s1,CCCCCCOc1cc(-c2cc3c(s2)-c2cc4c(cc2OC3(c2ccc(CCCCCC)cc2)c2ccc(CCCCCC)cc2)-c2sc(-c3cc(OCCCCCC)c(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)s3)cc2C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)O4)sc1/C=C1\C(=O)c2cc(F)c(F)cc2C1=C(C#N)C#N,0.9,18.67,67.5,11.38,-5.33,-3.48,-5.55,-3.9,,,2019,10.1021/acsami.9b19676,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
PTPD,Y6,CCCCCCCCc1ccc(-c2c3cc(-c4ccc(-c5sc(-c6cccs6)c6c5C(=O)N(CC(CCCCCC)CCCCCCCC)C6=O)s4)sc3c(-c3ccc(CCCCCCCC)s3)c3ccsc23)s1,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(F)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c21,0.65,20.8,37.7,5.1,-5.05,-3.19,-5.63,-4.3,,,2019,10.1021/acsenergylett.9b02842,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
P3HT,BTDT2R,CCCCCCc1cc(C)sc1C,CCCCCCOc1c(OCCCCCC)c(-c2ccc(/C=C3\SC(=S)N(CC)C3=O)s2)c2nsnc2c1-c1ccc(/C=C2\SC(=S)N(CC)C2=O)s1,0.81,9.42,67.0,5.09,-5.14,-3.14,-5.61,-3.8,,,2019,10.1021/acsami.9b09256,"OPV-DB (Qiu, J., Zenodo, 2026, doi:10.5281/zenodo.20841543)"
